# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 21:14:22 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-187245.725000	4.701162
2	20	-173387.330000	7823.497529
3	20	-163580.470000	1383.085785
4	20	-158607.820000	14960.398956
5	20	-256228.110000	417467.641914
6	20	-232260.385000	372613.230138
7	20	-216673.975000	176991.888860
8	20	-644020.255000	1112337.156048
9	20	-325466.635000	289773.207994
10	20	-314359.680000	203576.158175
11	20	-674895.150000	1016053.936114
12	20	-302816.040000	223298.417791
13	20	-985652.295000	1631343.106989

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_16_f	16	4	-159477.4	-152720.0	13514.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_8_f	8	4	-159817.1	-152779.4	14075.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_19_f	19	4	-156484.8	-150770.3	11429.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_10_f	10	4	-149640.9	-144877.5	9526.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_11_f	11	4	-159466.9	-152742.2	13449.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_1_f	1	4	-149764.4	-144883.2	9762.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_4_f	4	4	-156648.4	-150912.2	11472.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_13_f	13	4	-158109.8	-152382.7	11454.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_9_f	9	5	-151670.3	-145292.2	12756.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_18_f	18	5	-152890.5	-146129.0	13523.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_3_f	3	5	-152066.0	-145669.8	12792.3
