# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 22:40:20 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	12	-187246.216667	3.822620
2	12	-175714.341667	7035.062071
3	12	-163403.891667	1753.279190
4	12	-161302.216667	18863.413546
5	12	-325081.600000	536746.072887
6	12	-287962.183333	480990.935736
7	12	-243785.658333	218364.143687
8	12	-739796.950000	1257515.576902
9	12	-426226.283333	339679.406535
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_12_f	12	8	-262225.0	-138704.1	247041.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_3_f	3	8	-143609.7	-137683.1	11853.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_5_f	5	8	-143988.8	-138032.4	11912.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_4_f	4	8	-416507.4	-137457.6	558099.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_8_f	8	8	-1083747.9	-142764.5	1881966.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_6_f	6	8	-148195.9	-140779.1	14833.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K9_run_3_f	3	9	-1215728.6	-137619.1	2156218.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K9_run_7_f	7	9	-148721.5	-141301.5	14840.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K9_run_11_f	11	9	-592584.1	-134468.2	916232.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K9_run_5_f	5	9	-690877.0	-139079.9	1103594.3
